"athaliana_eg_homolog_ensembl_gene","baseMean.ab","log2FoldChange.ab","lfcSE.ab","stat.ab","pvalue.ab","padj.ab","tair_symbol.ab","uniprotswissprot.ab","entrezgene_id.ab","description.ab","external_gene_name.ab","external_gene_source.ab","baseMean.cd","log2FoldChange.cd","lfcSE.cd","stat.cd","pvalue.cd","padj.cd","tair_symbol.cd","uniprotswissprot.cd","entrezgene_id.cd","description.cd","external_gene_name.cd","external_gene_source.cd","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source"
"AT1G25560",831.393751829808,-0.731083784182467,0.126408894263629,-5.78348373697323,7.3169264622481e-09,1.31191143722889e-05,"TEM1","Q9C6M5",839143,"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]","TEM1","UniProtKB Gene Name",930.618432780583,-0.918265045621014,0.113961082766861,-8.05770727450507,7.77387048061983e-16,1.5288093687187e-11,"TEM1","Q9C6M5",839143,"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]","TEM1","UniProtKB Gene Name",986.512668164843,-0.54407736107511,0.126938205868291,-4.28615921702593,1.81788720865521e-05,0.00337573750789844,"TEM1","Q9C6M5",839143,"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]","TEM1","UniProtKB Gene Name"
"AT1G27730",777.434571171547,-0.759520424267518,0.171261774507908,-4.43485083843066,9.21360597963335e-06,0.00470453302467207,"STZ","Q96289",839666,"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]","ZAT10","UniProtKB Gene Name",768.686826149283,-0.77060611580288,0.135791685809497,-5.67491383002615,1.38758485313251e-08,4.548040620284e-05,"STZ","Q96289",839666,"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]","ZAT10","UniProtKB Gene Name",592.78722000306,-0.602948138829962,0.136090637773482,-4.43048947888353,9.40194345760175e-06,0.00195940408544995,"STZ","Q96289",839666,"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]","ZAT10","UniProtKB Gene Name"
"AT1G68840",1319.66824794249,-0.741731731753502,0.159835571613999,-4.64059235540367,3.47411862834561e-06,0.00225770336497533,"RAV2","P82280",843216,"TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]","RAV2","UniProtKB Gene Name",1324.55810098714,-0.656362118517328,0.12201395265764,-5.37940214394187,7.47336030023935e-08,0.000168323726999621,"RAV2","P82280",843216,"TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]","RAV2","UniProtKB Gene Name",2404.23181865169,-0.604452848742655,0.12969342135657,-4.66062844529958,3.15245356972652e-06,0.000899615547600259,"RAV2","P82280",843216,"TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]","RAV2","UniProtKB Gene Name"
"AT2G40140",852.286592302246,-0.612375135471723,0.131483481540045,-4.65743018285698,3.20180953480192e-06,0.00225770336497533,"CZF1","Q9XEE6",818605,"Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]","CZF1","TAIR Gene Name",772.775891536463,-0.684864031290419,0.118081975731318,-5.79990322018956,6.63532032342086e-09,2.60980418960789e-05,"CZF1","Q9XEE6",818605,"Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]","CZF1","TAIR Gene Name",796.023839211025,-0.829898097191055,0.173051207384188,-4.7956793236849,1.62124460714191e-06,0.00065323921859463,"CZF1","Q9XEE6",818605,"Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]","CZF1","TAIR Gene Name"
"AT3G55980",942.620329566511,-0.58623223337253,0.159976717361969,-3.66448470152128,0.000247837052340609,0.0466227149646537,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",899.045057396565,-0.543807188800393,0.137885565666263,-3.94390222190928,8.01663548820926e-05,0.0394137883777808,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",982.619752677235,-0.939881106495618,0.158876345419582,-5.91580265780568,3.30260999330192e-09,5.03765974335446e-06,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name"
"AT3G55980",942.620329566511,-0.58623223337253,0.159976717361969,-3.66448470152128,0.000247837052340609,0.0466227149646537,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",899.045057396565,-0.543807188800393,0.137885565666263,-3.94390222190928,8.01663548820926e-05,0.0394137883777808,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",982.619752677235,-0.939881106495618,0.158876345419582,-5.91580265780568,3.30260999330192e-09,5.03765974335446e-06,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name"
"AT3G55980",942.620329566511,-0.58623223337253,0.159976717361969,-3.66448470152128,0.000247837052340609,0.0466227149646537,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",899.045057396565,-0.543807188800393,0.137885565666263,-3.94390222190928,8.01663548820926e-05,0.0394137883777808,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",982.619752677235,-0.939881106495618,0.158876345419582,-5.91580265780568,3.30260999330192e-09,5.03765974335446e-06,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name"
"AT3G55980",942.620329566511,-0.58623223337253,0.159976717361969,-3.66448470152128,0.000247837052340609,0.0466227149646537,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",899.045057396565,-0.543807188800393,0.137885565666263,-3.94390222190928,8.01663548820926e-05,0.0394137883777808,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",982.619752677235,-0.939881106495618,0.158876345419582,-5.91580265780568,3.30260999330192e-09,5.03765974335446e-06,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name"
"AT3G55980",942.620329566511,-0.58623223337253,0.159976717361969,-3.66448470152128,0.000247837052340609,0.0466227149646537,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",899.045057396565,-0.543807188800393,0.137885565666263,-3.94390222190928,8.01663548820926e-05,0.0394137883777808,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",982.619752677235,-0.939881106495618,0.158876345419582,-5.91580265780568,3.30260999330192e-09,5.03765974335446e-06,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name"
"AT3G55980",942.620329566511,-0.58623223337253,0.159976717361969,-3.66448470152128,0.000247837052340609,0.0466227149646537,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",899.045057396565,-0.543807188800393,0.137885565666263,-3.94390222190928,8.01663548820926e-05,0.0394137883777808,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",982.619752677235,-0.939881106495618,0.158876345419582,-5.91580265780568,3.30260999330192e-09,5.03765974335446e-06,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name"
"AT3G55980",942.620329566511,-0.58623223337253,0.159976717361969,-3.66448470152128,0.000247837052340609,0.0466227149646537,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",899.045057396565,-0.543807188800393,0.137885565666263,-3.94390222190928,8.01663548820926e-05,0.0394137883777808,"SZF1","",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name",982.619752677235,-0.939881106495618,0.158876345419582,-5.91580265780568,3.30260999330192e-09,5.03765974335446e-06,"SZF1","Q93ZS9",824764,"Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","TAIR Gene Name"
