GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (243),expected,over/under,fold Enrichment,raw P-value,FDR
regulation of phenylpropanoid metabolic process (GO:2000762),27,4,0.24,+,16.74,0.000151,0.012
response to chitin (GO:0010200),138,15,1.22,+,12.28,6.88E-12,4.09E-08
regulation of secondary metabolic process (GO:0043455),66,6,0.58,+,10.27,0.0000412,0.00416
response to organonitrogen compound (GO:0010243),250,17,2.21,+,7.68,2.62E-10,0.000000779
regulation of small molecule metabolic process (GO:0062012),126,7,1.11,+,6.28,0.000178,0.014
response to nitrogen compound (GO:1901698),309,17,2.73,+,6.22,5.43E-09,0.00000808
negative regulation of response to stimulus (GO:0048585),226,11,2,+,5.5,0.00000869,0.00133
cellular response to hypoxia (GO:0071456),234,10,2.07,+,4.83,0.000064,0.00604
cellular response to decreased oxygen levels (GO:0036294),236,10,2.09,+,4.79,0.0000685,0.00637
response to hypoxia (GO:0001666),260,11,2.3,+,4.78,0.0000302,0.00359
cellular response to oxygen levels (GO:0071453),237,10,2.1,+,4.77,0.0000708,0.00639
response to decreased oxygen levels (GO:0036293),264,11,2.34,+,4.71,0.0000345,0.00402
response to oxygen levels (GO:0070482),266,11,2.35,+,4.67,0.0000368,0.00406
regulation of immune response (GO:0050776),199,8,1.76,+,4.54,0.00051,0.0366
regulation of immune system process (GO:0002682),199,8,1.76,+,4.54,0.00051,0.0361
positive regulation of response to stimulus (GO:0048584),261,9,2.31,+,3.9,0.000673,0.0466
response to fungus (GO:0009620),350,12,3.1,+,3.87,0.0000935,0.00795
defense response to bacterium (GO:0042742),423,14,3.74,+,3.74,0.0000356,0.00408
response to bacterium (GO:0009617),518,17,4.58,+,3.71,0.00000577,0.00107
translation (GO:0006412),513,16,4.54,+,3.52,0.0000199,0.00264
peptide biosynthetic process (GO:0043043),518,16,4.58,+,3.49,0.0000224,0.00277
regulation of response to stress (GO:0080134),399,12,3.53,+,3.4,0.000301,0.0222
response to external biotic stimulus (GO:0043207),1105,31,9.78,+,3.17,2.34E-08,0.0000278
response to other organism (GO:0051707),1105,31,9.78,+,3.17,2.34E-08,0.0000232
response to biotic stimulus (GO:0009607),1107,31,9.8,+,3.16,2.43E-08,0.0000207
negative regulation of nitrogen compound metabolic process (GO:0051172),432,12,3.82,+,3.14,0.000599,0.0419
amide biosynthetic process (GO:0043604),576,16,5.1,+,3.14,0.000076,0.00665
biological process involved in interspecies interaction between organisms (GO:0044419),1117,31,9.88,+,3.14,2.97E-08,0.0000221
peptide metabolic process (GO:0006518),620,17,5.49,+,3.1,0.000053,0.00517
defense response to other organism (GO:0098542),818,22,7.24,+,3.04,0.00000557,0.00107
immune response (GO:0006955),824,22,7.29,+,3.02,0.00000623,0.00103
regulation of response to stimulus (GO:0048583),755,20,6.68,+,2.99,0.0000186,0.00258
immune system process (GO:0002376),836,22,7.4,+,2.97,0.00000777,0.00122
negative regulation of cellular process (GO:0048523),751,19,6.65,+,2.86,0.0000551,0.0053
cellular response to stress (GO:0033554),1129,28,9.99,+,2.8,0.0000013,0.000387
cellular amide metabolic process (GO:0043603),727,18,6.43,+,2.8,0.000113,0.00908
response to external stimulus (GO:0009605),1528,37,13.52,+,2.74,3.83E-08,0.0000228
defense response (GO:0006952),961,23,8.5,+,2.7,0.000021,0.00266
negative regulation of biological process (GO:0048519),1091,26,9.65,+,2.69,0.00000638,0.00103
cellular nitrogen compound biosynthetic process (GO:0044271),1226,28,10.85,+,2.58,0.000006,0.00102
response to oxygen-containing compound (GO:1901700),1536,35,13.59,+,2.58,0.000000384,0.000134
