GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0050896	P	response to stimulus	8	22	4057	37767	0.0014	0.013	// AT5G47230 // AT1G27730 // AT5G38430 // AT4G37610 // AT5G61600 // AT5G56550 // AT3G44260 // AT2G40000 
GO:0006950	P	response to stress	6	22	2320	37767	0.0017	0.013	// AT5G47230 // AT1G27730 // AT5G61600 // AT5G56550 // AT3G44260 // AT2G40000 
GO:0042221	P	response to chemical stimulus	5	22	2085	37767	0.0062	0.03	// AT4G37610 // AT5G56550 // AT5G47230 // AT2G40000 // AT1G27730 
GO:0009987	P	cellular process	6	22	11684	37767	0.72	1	// AT5G47230 // AT1G27730 // AT4G24570 // AT2G31810 // AT5G61600 // AT3G44260 
GO:0044237	P	cellular metabolic process	5	22	8722	37767	0.6	1	// AT3G44260 // AT5G61600 // AT2G31810 // AT1G27730 // AT5G47230 
GO:0008152	P	metabolic process	6	22	10614	37767	0.61	1	// AT5G47230 // AT1G27730 // AT2G31810 // AT5G38430 // AT5G61600 // AT3G44260 
GO:0005488	F	binding	9	22	11258	37767	0.18	0.54	// AT5G50450 // AT1G27730 // AT5G61600 // AT2G31810 // AT5G47230 // AT4G37610 // AT3G18773 // AT4G24570 // AT3G44260 
GO:0003824	F	catalytic activity	6	22	9638	37767	0.51	0.76	// AT2G18700 // AT2G31810 // AT5G38430 // AT5G18670 // AT3G44260 // AT1G73540 
GO:0043231	C	intracellular membrane-bounded organelle	10	22	7615	37767	0.0065	0.067	// AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0043229	C	intracellular organelle	10	22	8149	37767	0.011	0.067	// AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0005622	C	intracellular	11	22	9671	37767	0.012	0.067	// AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G37610 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0044424	C	intracellular part	11	22	9302	37767	0.0089	0.067	// AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G37610 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0043227	C	membrane-bounded organelle	10	22	7622	37767	0.0066	0.067	// AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0043226	C	organelle	10	22	8155	37767	0.011	0.067	// AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0005634	C	nucleus	5	22	2621	37767	0.016	0.074	// AT5G56550 // AT3G44260 // AT5G47230 // AT1G27730 // AT5G61600 
GO:0044464	C	cell part	12	22	15217	37767	0.13	0.47	// AT1G07135 // AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G37610 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0005623	C	cell	12	22	15217	37767	0.13	0.47	// AT1G07135 // AT5G47230 // AT1G27730 // AT2G18700 // AT5G61600 // AT2G31810 // AT5G38430 // AT4G37610 // AT4G24570 // AT5G56550 // AT3G44260 // AT2G20670 
GO:0005737	C	cytoplasm	6	22	6822	37767	0.19	0.64	// AT2G18700 // AT2G31810 // AT5G38430 // AT4G37610 // AT4G24570 // AT2G20670 
GO:0044444	C	cytoplasmic part	5	22	6289	37767	0.3	0.9	// AT2G18700 // AT2G20670 // AT2G31810 // AT5G38430 // AT4G24570 
